,filename,preproc_ms,work_ms
182,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group4_2_1.mtx,0.0368,0.022272
183,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group2_2_1.mtx,0.041568,0.014912
184,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group3_5_1.mtx,0.052864,0.022176
185,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group_projection_block_group1.mtx,0.049088,0.0104
186,dlmc/rn50/random_pruning/0.95/bottleneck_projection_block_group_projection_block_group4.mtx,0.035392,0.03104
187,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group_projection_block_group4.mtx,0.036128,0.02192
188,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group_projection_block_group3.mtx,0.055456,0.02336
189,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group1_1_1.mtx,0.049248,0.010272
190,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group2_2_1.mtx,0.027648,0.014016
191,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group1_1_1.mtx,0.030176,0.014432
192,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group_projection_block_group3.mtx,0.037152,0.014976
193,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group2_3_1.mtx,0.03856,0.01456
194,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group3_3_1.mtx,0.026624,0.0136
195,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group3_5_1.mtx,0.027616,0.01408
196,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group3_3_1.mtx,0.036256,0.013696
197,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group4_2_1.mtx,0.051488,0.022112
198,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group_projection_block_group2.mtx,0.037472,0.01488
199,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group4_1_1.mtx,0.669472,0.027456
200,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group1_2_1.mtx,0.030112,0.013888
201,dlmc/rn50/random_pruning/0.95/bottleneck_projection_block_group_projection_block_group2.mtx,0.027232,0.014368
202,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group_projection_block_group2.mtx,0.037408,0.014752
203,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group3_3_1.mtx,0.054368,0.022496
204,dlmc/rn50/random_pruning/0.95/bottleneck_projection_block_group_projection_block_group1.mtx,0.029152,0.014592
205,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group2_1_1.mtx,0.028352,0.013504
206,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group2_3_1.mtx,0.02752,0.014496
207,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group1_2_1.mtx,0.051008,0.01184
208,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group3_4_1.mtx,0.054688,0.02336
209,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group_projection_block_group4.mtx,0.035424,0.013984
210,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group4_2_1.mtx,0.689984,0.028352
211,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group3_1_1.mtx,0.028128,0.01408
212,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group3_4_1.mtx,0.02704,0.01424
213,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group1_2_1.mtx,0.027968,0.01376
214,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group4_1_1.mtx,0.052736,0.022464
215,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group4_1_1.mtx,0.035584,0.02256
